Q,A
102번에서 주움,기사님 드려
12시작 아니야?,n교시 +8
15명? 안믿어~,ㅋㅋㅋㅋ 첫주에 이미 눈치깜
18시? 17시?,17시
19학점 맞나요?,전학기 4.0 넘으면 22
1학년인데 ㅠㅠㅠ,난 1.98 이었어 ㄱㅊ아 아직 살아있어
-2 점은 뭐임?,오엑스 틀렷으면 -1
24시간 내내요!,23시까지
24시간이에요??,24 ㅇㅇ
29일까지 맞나?,엥? 4월초까지
2시간 컷 가능?,1시간도 가능
2식 필수던데….,응 점심저녁만 줘
2주남은거야;;?,3주 조금 안 남았지
3%면 ㄱㅊ아 ?,ㅈㄴ 니머리로만 생각한 수준임 ㄱㅊ
3.5맞기 쉽나?,남들 공부 할때 조금 더 하면 됨
302호 맞나요?,보강해요?
3셋 배팅 ㄴㄱ?,t1
5개 머머햇오..,혹시 2번 뭐너왔나요 에이비씨디 나오는거?
5분전이면 양호?,난 10분전
5시쯤 학교가는데,낮 날씨가 딱 그정도야 5시면 외투 챙겨
5월말에 한다던데,대학 축제
7주차부터맞나요?,슈베르트 이후부터라고 하신거같은데요
8주차인가 그냥?,토목 토질은 언제보냐
9세대 괜찮나요?,에어ㄱㄱ
9시? 10시??,10시로 아는데 한 9시40분쯤되면 경비원분께서 정리하셔요
9시수업 아...,ㅋㅋㅋㅋ
atm기쓰려는데ㅜ,네 열려있어요!
bo 가능합니까?,점수 설거지 ㅋㅋ
cctv 있나요?,네 뭐하는지 다 지켜보고있음
c맞기 시른데..,공부좀하지 그랬노
f는 안주시나요?,ㄴㄴ f폭격기임 자기 맘에 안들면 f 임
F일가능성 높아?,f나 d
om바디 괜찮음?,나쁠건 없지않나 알못이긴함
ot 빨리 끝나?,ㄴㄴ 거의 풀강
P2 시작도 못함,예제문제 따라풀면 저절로 풀어짐
qr 안찍어도됨?,무슨 qr..?
W 남는거 ...,그게 모임?
가격이 제각각이라,02월 03일
가능한 곳 있음?,N3동 고양이집 옆에서
가본사람 어땨??,ㅋㅋㅋㅋ말그대로 군문화축제임
갑자기 궁금해져서,수강철회한건 재수강이 아니야. 처음 듣는거임
갑자기 궁금해짐.,외국인 유학생도 할수 있는걸로 아는데 실제로 하는지는 모르겠다
강의실 어디야??,어디야????!!
강좌 사라짐???,폐강 강의 목록 보셈
같이 도사할사람?,이런십 ㅋㅋㅋㅋㅋ
같이 하지않을래?,만드는건 좋아하는디..
개쉬웠다 ㅇㅈ??,문제는 쉬웠는데 내가 다 틀림
걍 기다려야 돼?,기관으로 전화해봐요
검색하니 진짜있네,ㅋㅋㅋㅋ세계 3차대전 곧 일어나겠노
결원 안생기겠죠?,도서관은 웬만하면 안 생김
계산기 필요함ㅍ?,먼가 필요없을거같지않냐?
계산기필요하나요?,들고가서 쓰면 못쓰게하면 못쓰는거고 쓰게하면 들고간사람이 승자아녀??
계속 나는데???,배기음
계절학기 있나요?,아마 그럴거에요 저도 들어야해서
공부 얼마나 함?,나는 걍 한번 읽어봤는데 아이패드나 폰 오픈북 되는거맞지?
공부하고 있어??,강의 첨부터 끝까지 정리했다.. 후..
공지가없으시넹..,누가 물어봐줘 ㅠ
공지사항에 없어서,기초과학부 사이트를 가야됨https://www.hanbat.ac.kr/prog/bbsArticle/BBSMSTR_000000000355/view.do?nttId=B000000097893Yo3gF1j&mno=sub04_01
과동아리 없어요?,없어진거 같아요 ㅠ
과사에서 알려줌?,과사에 물어보면 되지
과제 대체 뭐임?,그니까 알려주셨어..?
과제 손글씨야??,네 알려드렸습니다
과제 없니...?,계절에도 웹사 하지않아?
과제할려고 하는데,gs 옆에 지오는 하더라
관심있는 사람??,즐라탄
괜찮은거 맞아 ?,밖과 안의온도차로인해 생긴 수증기란다
괜찮지 않지..?,구라 안 치고 아예 안 푸는게 아닌 이상 시험으로 커버 가능
교안도 안보이네;,크롬말고 인터넷으로 들어가보세요
교재 필요한가요?,강의계획서에 준다고 나와있어요
구암역으로 바뀜?,바뀐지 좀 됐지
국무총리 철수냐?,총리나 장관직 하나 주겟지
그거 왜 치는거?,과목아니고 진로설계 필수 과제
그게 바로 나야나,우와 머사는데?
그냥 편해서 좋음,낼 개강인데 학교 어캄??
그는 신인가???,역사다
그때 어떻게했우?,그때부터 내가 장발장 됨
그때 휴강인가??,8주차 강의입니다
그런거 없나..?,있겠냐 ㅋㅋ
그럴수가있는거임?,커피도 군것질이면 군것질이긴 한데...
근황 아시는 분?,그니까 빨리 바껴야되는데
글삭튀해버리네 ㅋ,본인은 마음대로 비판하더니 자기가 욕먹으니까 바로 런하네 ㅠㅠㅠ
급하니까 말해주라,공지를 보세연
급한데 사야하는데,10시부터 아님?
기사 꼭 따야함?,본인이 취업할 곳 맞춰서 준비해야지
기억나는대로 ㄱㄱ,오페라 형태 작곡가들 곡특징 같은거
긱사에들인가???,확진돠면 이동동선에 직업 학생하고 대학교 소속 적어야해서 집이나 타지역이어도 포함인걸로 암
김창화교수님꺼..,이거 평이 하나도 없어.. 나도 이번에 신청했는데
나 왜 게을렀어?,"나도 큰일이야,,"
나 좀 도와줘..,혹시 어떻게 했어 ..?
나 통학이라 몰루,열어
나 한글로 했는디,나도 한글로함
나 한문제 풀었어,한문제면 많은거 아냐..?
나도 빨리하고싶다,공지에 다 나와있다
나도 평평한데..,얼마나?
나만 몰랐어..?,뭔데..?
나만 안되나???,수강신청앱?
나만 안들어가짐?,나도 안들어가져….
나만 어려웠냐 ?,전 어려워서 아직 다 하지도 못했어요..
나만 짤렸냐..?,ㅋㅋㅋㅋㅋㅋㅋㅋ 나는 붙었당
나만지금 느리냐?,원래 느림
나야 좋지만~~~,나 내용1도 몰라서 난이도 모르겠는데 쉬운거임?
나올 수 있음??,기말에만 공부했음?
나중에 다막힘??,절대안돼 그거 조금씩 버리다가 역류하는 아파트 ㅈㄴ많음 조금도 안돼 라면국물만 가능
나지금대피해야됨?,존내 황당하네 자다가 스팔
난 17인데..ㅠ,아프리카가 망한길로 간 이유지
난 아는게 없어…,그냥 교내근로야? 국가말고??
난 오늘 왔던데!,선발되셨나요??
내 재수강 어떡해,3학년 할당인원은 아예 0명이니?
내과어디가 좋아?,연합내과 굳
내용 뭐였나요??,책 뭐사야되는지랑 기본 수업이용
내일 수업 없죠?,동영상 강의 올려주신다고 했던 거 같은데
내일은 괜찮겠지?,지금 오류뜬거임? 강의 앖다고 뜨는거
내일은 올라오냐?,담주에 올릴듯ㅋㅋ
낼 실강하나???,안할거같은데 시험공지는 어케 주려나
낼 아침에 있던데,구이 오타?
냅두면 상하나??,하루 24시간 냅두는거면 상할 수도
냉면집있나용?0?,짜장1번가요
너네는 뭐해..?,뭔소리여
네덜란드냐 여기가,키가 몇이면 큰거냐
노점상들 오려나?,안막을듯
놀리고 싶어서 ㅋ,ㅋ 군대나 가라
누가 이길거같음?,1. 젠지
누구야누구야누구야,그런거 없어
님들도 사실래요?,롯데마트에 짜요짜요 파는데
님들이 켓맘들임?,고양인데요
다 거기서거긴가요,데일리 비싼값함
다 라켓 샀어요?,난 빌렸어
다 물2얘기네..,ㅔ
다들 교재 샀어?,아니 안샀어
다들 몇자 썼어?,창글은 아니고 실글인데 대충 2900자정도 썼어요
다들 어케 나옴?,영회2?
다들 열심히하나?,재수강이니까 열심히 하징
다들 점수 어때?,135점
다들 책사서 해?,전 어플로해서 합격햇는데 어플 ㄱ ㄱ
다른데 사는사람?,둔동 삼
단톡방 두개생김?,복전생 관심없음
대기시간 길어??,보건소 가서 해
대면 가능한건가?,ㄴㄴ 누가 대면한댕?
대면 왜함????,교양 말하는 거임?
대면 한대?)?!,몰라 공지도 안떴던데
대면수업 맞나요?,맞지 않아요 ?…
대면수업 맞냐.?,누구교수님이여?
대면식 가도 댕?,오지마영 ㅠ
대면임 비대면임?,공지 안쓸거면 문자라도 돌리라고 아 ㅋㅋ
대부분 없나요??,네 사장가족들에게만 상여급 지급됩니다~
대체 뭐가 문제?,단순 질투 때문이 아니라 사회를 거스르면서 우월감에 빠져 정신적 자기위로를 하는 과정에서 여성에게 고정관념을 주지 말라는 건덕지를 찾은건일뿐임
대체 언제 주냐?,장학금?
대체로 얼마써??,오만
도서관 닫아서 ㅜ,bench
도서관 열려있음?,도서관은 열렸는데 505호는닫힘
도와주실분? ㅠㅠ,뭐요
돈 내야해 혹시?,ㅇㅇ돈냄
동구 머나여..?,끝 to 끝
동맥 그거 하나?,안하면 좋겠다
뒤지는 병 있음?,난 안 뱉는데
드라이기 반입됨?,됬나? 나 머리 어케 말렸더라
들고가도 되겠지?,모니터도 들고가라
따뜻한 날씨인가?,딱 적절한듯 패딩은 아직이고
따로 돈 내야함?,보통 테이블 별로 n분에 1하지 않나
딱 1인분 먹을때,배고프면 5분 맛없고 배안고프면 20분
ㄹㅇ 궁금해서그럼,2번 머갈 텅텅인데 대통령 되도 되는거임?
랩실 가야 하나요,가서 하기나름이지  시간때우러 어영부영 가는건 비추
레포트 많이냄??,이번에 은퇴하시지 않으셨나? 레포트는 매 수업마다 나오는편 근데 거의 모든 컴공 교수님들이 레포트 꽉꽉 주시는...
로그인 왜안되는데,내말이;; 자료 다운받아야댐
막 뒹굴고그러나?,철모 탄띠 총 들고 산 탐 ㅋ
만들면 때부자임?,무한동력이나 만들지그러삼
많아?댓글에 손좀,난 미2
많이 떨어졌나요?,네 개망했어요
많이 시끄러울려나,협의 해봐 그 친구는 청축일수도 있어
말 그대로요!!!,화면크기 배율을 줄이면 되요
맛있게먹고싶어 ㅜ,스리라차 좋아해?
맨날 헷갈려 ㅠㅠ,12학점이용
"머리, 몸, 세수",머리몸세수
머야?? 와...,기숙사생도 걸리거같은데
먹으면뭐먹어?.?,나는 미숫가루
메트로시티 ㄱㅊ?,토리버치 코치 메트로시티 중에 고민중인데 추천좀
멘토할사람 있어?,멘토 구하는거면 웬만하면 나이 더 많은 사람일텐데 존댓말 쓰는게 맞지않나...
명령어 너무 많아,외워두면 나중에 써먹음
몇 시에 열어요?,8시20분쯤에 가봤는데 열긴열더라구요
몇 점 만점이야?,30?
